wb1_spectrum,wb1_wintel_fit,wb1_wintel_base,wb1_frequency
-55.9031305,-55.96984593,-52.07099001,2349.34759
-56.07263068,-56.15771208,-52.27065072,2349.348217
-56.23531552,-56.34843115,-52.47036994,2349.348844
-56.50491938,-56.54196128,-52.67014699,2349.349471
-56.78734698,-56.73827574,-52.8699812,2349.350098
-56.84843422,-56.93736278,-53.06987189,2349.350725
-57.0455665,-57.13922568,-53.26981837,2349.351352
-57.33129818,-57.3438827,-53.46981998,2349.351978
-57.52521362,-57.55136737,-53.66987603,2349.352605
-57.6423502,-57.761729,-53.86998585,2349.353232
-57.86262192,-57.97503306,-54.07014875,2349.353858
-58.17458992,-58.19136224,-54.27036407,2349.354484
-58.3222374,-58.41081749,-54.47063111,2349.355111
-58.4699503,-58.63351901,-54.67094921,2349.355737
-58.77690222,-58.85960831,-54.87131769,2349.356363
-59.05660368,-59.08924905,-55.07173586,2349.35699
-59.2009907,-59.32263111,-55.27220305,2349.357616
-59.40256114,-59.55997103,-55.47271858,2349.358242
-59.81196121,-59.80151652,-55.67328177,2349.358868
-60.09849982,-60.04754961,-55.87389195,2349.359494
-60.2081995,-60.29839101,-56.07454844,2349.360121
-60.45554719,-60.55440519,-56.27525055,2349.360747
-60.77792903,-60.81600553,-56.47599762,2349.361373
-61.03825313,-61.08366171,-56.67678896,2349.361999
-61.19509314,-61.35790531,-56.87762389,2349.362625
-61.53885878,-61.63933938,-57.07850174,2349.363252
-61.96559707,-61.92865239,-57.27942182,2349.363878
-62.17416822,-62.22662976,-57.48038347,2349.364504
-62.38904219,-62.53416843,-57.681386,2349.36513
-62.72715928,-62.85229783,-57.88242873,2349.365756
-63.12336486,-63.18220243,-58.08351099,2349.366381
-63.39371023,-63.52524864,-58.2846321,2349.367007
-63.71254809,-63.88301778,-58.48579137,2349.367632
-64.15689721,-64.25734541,-58.68698814,2349.368258
-64.53091205,-64.65037444,-58.88822173,2349.368883
-64.82406972,-65.06461124,-59.08949144,2349.369507
