AnalyticalID,Date,StartTime,Time,Name,Xp626_L2_mean,Xp626_L2_std,mismatch_Xp626_L2,std_mismatch_Xp626_L2,Praw_mean,Praw_std,mismatch_Praw,std_mismatch_Praw,Traw_mean,Traw_std,mismatch_Traw,std_mismatch_Traw,cycle_n,outliers,dp13C_L1_raw_mean,dp13C_L1_raw_std,dp18O_L1_raw_mean,dp18O_L1_raw_std,dp18O_L2_raw_mean,dp18O_L2_raw_std,dp17O_L2_raw_mean,dp17O_L2_raw_std,Dp17O_raw_mean,Dp17O_raw_std,Dp17O_corr
NBS18-32,20-Mar-23,12:15:00,12:15:34,230320_121534,411735.5594,834.7160832,-5111.056499,772.1221975,27.99490686,0.042333759,-0.102486566,0.065049038,296.8726156,0.014234693,-0.00228246,0.000721972,24,1,35.3070283,0.072519775,7.013197964,0.062589046,6.824530352,0.053540993,3.615843338,0.060469701,0.012491312,0.040182107,-0.026863823
NBS18-33,24-May-23,10:37:00,10:36:46,230524_103646,410255.7414,489.5588891,-7006.321401,505.4303471,28.1357733,0.045271455,-0.072851197,0.044965098,296.6959411,0.002533694,0.000512334,0.000826932,13,0,35.55804548,0.068374657,7.248982,0.046620052,7.00836281,0.099710863,3.723577312,0.064919923,0.023161749,0.049902412,-0.030786926
NBS18-34,25-May-23,10:51:00,10:51:10,230525_105110,403252.0448,546.7389165,-14061.82101,429.7908228,28.10793977,0.07046205,-0.078450535,0.074024901,296.7539826,0.001234953,-0.000492271,0.000792348,12,0,35.2690812,0.149609971,6.863556611,0.065538484,6.5431879,0.042287845,3.576677522,0.043876183,0.121874311,0.030106928,0.013598289
NBS18-36,17-Oct-23,13:26:00,13:27:35,231017_132735,428260.6722,203.9312839,11631.4891,302.4019949,28.34231173,0.076678565,-0.115334448,0.071195645,296.6940811,0.001385524,-0.000708441,0.000741358,9,0,35.71092169,0.041526288,11.12331434,0.026807059,11.36657451,0.138277461,5.900689125,0.090779519,-0.100862218,0.031478259,-0.011299752
NBS18-37,18-Oct-23,11:13:00,11:13:59,231018_111359,408401.8262,128.2058053,-7713.108773,108.8139963,28.31079058,0.041772592,-0.098114755,0.036921416,296.6915667,0.000720816,-0.000361,0.000571662,9,1,35.67592002,0.026307121,11.47581643,0.024924238,11.26330534,0.036769356,5.978940563,0.043819137,0.031915344,0.030711443,-0.027475594
NBS18-38,20-Oct-23,10:49:00,10:49:12,231020_104912,364272.5462,146.914025,-51914.90201,151.3773726,28.32193908,0.025725913,-0.060715244,0.061373239,296.7032429,0.000944357,0.00013287,0.000407286,16,0,35.35657926,0.037900125,7.317492196,0.024088099,6.152321201,0.047825715,3.595928305,0.039047999,0.347502711,0.015709955,-0.052242034
NBS18-40,26-Oct-23,13:35:00,13:35:56,231026_133556,399828.926,362.7630787,-16998.26195,391.9261101,28.35275256,0.019589893,-0.053191337,0.034551429,296.710812,0.000781912,0.000288079,0.00036592,6,2,35.58831052,0.029816589,7.124528885,0.04544849,6.738345907,0.033369537,3.648411561,0.013283494,0.090564922,0.01060445,-0.040321695
NBS18-41,17-Jan-24,15:59:00,15:59:08,240117_155908,432078.9209,609.2560163,15358.49337,617.6894667,28.17576229,0.016564274,-0.089500826,0.024200979,296.7502768,0.001341955,-0.000557013,0.000859837,8,0,35.34868562,0.027274184,6.867283241,0.025537521,7.099829286,0.030392156,3.575955625,0.025954384,-0.172754238,0.01360437,-0.054493839
NBS18-43,9-Feb-24,12:24:00,12:24:08,240209_122408,412072.6881,701.6109559,-5198.230865,794.3352582,28.25053833,0.026720435,-0.061758235,0.037558168,296.8999287,0.011457199,0.003815855,0.000784956,11,0,34.98331219,0.040419689,7.348344902,0.017890146,7.168263902,0.05630795,3.802377782,0.059930886,0.017534441,0.039969238,-0.022491937
NBS18-46,5-Mar-24,17:01:00,17:01:15,240305_170115,398611.7678,70.98516409,-18154.50637,71.25339088,28.41129968,0.038514063,-0.070929007,0.038757223,296.7270264,0.000444363,-0.00010498,0.000581436,13,2,34.580046,0.050877168,6.714638906,0.030202402,6.246579777,0.034575918,3.374111713,0.038804775,0.075917591,0.022322404,-0.063872108
